time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
0,-0.2277837,-0.9487923,-0.2332763,0,0,0,0,0,0,-0.000856458
0.01998901,-0.210693,-0.9680784,-0.2308349,0,0,0,0,0,0,0.002016098
0.03997803,-0.1992193,-0.9639287,-0.2193597,0,0,0,0,0,0,0.000378101
0.05999756,-0.172852,-0.9690556,-0.2127671,0,0,0,0,0,0,-0.001133986
0.07998657,-0.1511229,-0.9946901,-0.201782,0,0,0,0,0,0,0.005204169
0.1000061,-0.2067875,-0.9446409,-0.2125244,0,0,0,0,0,0,-0.004713472
0.1199951,-0.2080074,-0.9265746,-0.2088616,0,0,0,0,0,0,-0.01741093
0.1399841,-0.2080074,-0.9265746,-0.2088616,0,0,0,0,0,0,-0.02492114
0.1600037,-0.210693,-0.937317,-0.2252195,0,0,0,0,0,0,-0.02374516
0.1799927,-0.177246,-1.014711,-0.246947,0,0,0,0,0,0,0.00474543
0.1999817,-0.1640623,-0.9539192,-0.2193597,0,0,0,0,0,0,-0.003458181
0.2200012,-0.2043462,-0.9265746,-0.2213125,0,0,0,0,0,0,-0.01528581
0.2399902,-0.2043462,-0.9265746,-0.2213125,0,0,0,0,0,0,-0.02229042
0.2599792,-0.2475584,-0.9360971,-0.2425529,0,0,0,0,0,0,-0.01723578
0.2799988,-0.1997079,-0.972474,-0.2347404,0,0,0,0,0,0,-0.005676555
0.2999878,-0.1577156,-0.9563605,-0.2178956,0,0,0,0,0,0,-0.008771763
0.3200073,-0.1821286,-0.9387828,-0.2325434,0,0,0,0,0,0,-0.01409847
0.3399963,-0.1821286,-0.9387828,-0.2325434,0,0,0,0,0,0,-0.01718454
0.3599854,-0.192871,-0.9387828,-0.2391345,0,0,0,0,0,0,-0.01751143
0.3800049,-0.1889655,-0.937317,-0.2257081,0,0,0,0,0,0,-0.01956443
0.3999939,-0.2180185,-0.9431768,-0.2337633,0,0,0,0,0,0,-0.01552089
0.4199829,-0.1931153,-0.9607545,-0.2823482,0,0,0,0,0,0,-0.003823024
0.4400024,-0.1308596,-0.9622203,-0.2816154,0,0,0,0,0,0,-3.91E-05
0.4599915,-0.1308596,-0.9622203,-0.2816154,0,0,0,0,0,0,0.002248607
0.4799805,-0.1831058,-0.932923,-0.2801512,0,0,0,0,0,0,-0.003970279
0.5,-0.2087403,-0.9495251,-0.2608635,0,0,0,0,0,0,-0.0018214
0.519989,-0.1784675,-0.9966428,-0.2376703,0,0,0,0,0,0,0.01219767
